gene,cor,Description
Os09g0527500,0.210691265725616,Similar to MEG5.
Os05g0155601,0.210511001970866,Importin alpha homologue, Component of the NLS-receptor in plant cells, Regulation of plant nuclear protein import
Os10g0457400,0.210332545030044,Similar to shugoshin-1.
Os02g0700100,0.209383368893821,Cell Division Cycle 20 (CDC20) protein, Cell cycle regulator, Required for faithful meiotic chromosome segregation and cytokinesis
Os01g0218032,0.208708401223391,Putative DNA demethylase, Endosperm development
Os07g0485400,0.207156111431772,Similar to asparaginyl-tRNA synthetase.
Os04g0188433,0.207085471946564,Similar to OSIGBa0102N07.2 protein.
Os06g0656400,0.206730044726992,Hypothetical protein.
Os01g0824000,0.206437787577309,Conserved hypothetical protein.
Os10g0569400,0.206118063865259,Rice pathogen-related protein, Pathogen defense, Blast disease resistance
Os11g0132501,0.205800657886804,Hypothetical gene.
Os06g0232800,0.204808372678041,Conserved hypothetical protein.
Os06g0232800,0.204808372678041,Conserved hypothetical protein.
Os05g0132500,0.202420033873927,Protein of unknown function DUF246, plant family protein.
Os05g0132500,0.202420033873927,Similar to auxin-independent growth promoter protein.
Os04g0533500,0.202311683032498,Cytochrome b561 family protein.
Os03g0792800,0.201665780643327,Beta-glucanase 8, Positive regulation of the resistance to sheath blight
Os01g0253100,0.201574465085411,Similar to Avr9/Cf-9 induced kinase 1.
Os01g0253100,0.201574465085411,Hypothetical conserved gene.
Os03g0334100,0.201564613867775,PRC-barrel-like domain containing protein.
Os07g0110800,0.201086173450743,Conserved hypothetical protein.
Os02g0665600,0.200736099504088,Hypothetical protein.
Os02g0612100,0.200421510942957,Phospholipid methyltransferase family protein.
Os01g0533000,0.200214725339636,Similar to predicted protein.
Os01g0260500,0.19891069686518,Nucleotide-binding LRR receptor (NLR) family protein
Os08g0290500,0.1980264220393,Similar to PHD finger family protein.
Os08g0290500,0.1980264220393,Similar to PHD finger family protein.
Os08g0290500,0.1980264220393,Similar to PHD finger family protein.
Os03g0799600,0.197832262719676,Homolog of Arabidopsis SHL (SHORT LIFE), BAH (Bromo adjacent homology) domain-containing protein
Os03g0799600,0.197832262719676,Similar to ES43 like protein.
Os01g0563500,0.196667587837866,Hypothetical conserved gene.
Os01g0287700,0.195986511084883,Hypothetical conserved gene.
Os09g0429600,0.195578445318628,Non-protein coding transcript.
Os04g0453500,0.195098550592928,Conserved hypothetical protein.
Os07g0291200,0.194663410492797,B-cell receptor-associated 31-like domain containing protein.
Os07g0160000,0.19460743796589,Similar to Ubiquitin carboxyl-terminal hydrolase.
Os06g0155900,0.193846379765655,Conserved hypothetical protein.
Os06g0155900,0.193846379765655,Conserved hypothetical protein.
Os08g0472600,0.193733643516742,Alpha1, 3-fucosyltransferase, Basipetal auxin transport, Gravitropic response, N-glycan biosynthesis
Os03g0842501,0.193381494836307,Hypothetical conserved gene.
Os02g0813800,0.192325617021596,Similar to STYLOSA protein.
Os02g0813800,0.192325617021596,Non-protein coding transcript.
Os12g0506400,0.192093937593558,Cornichon family protein.
Os04g0530100,0.191690763538533,Similar to Beta-expansin 1 precursor (AtEXPB1) (At-EXPB1) (Ath-ExpBeta-1.5).
Os06g0632700,0.191271057775715,MULE transposase, conserved domain domain containing protein.
Os06g0632700,0.191271057775715,Hypothetical conserved gene.
Os04g0651700,0.19073483705456,Non-protein coding transcript.
Os11g0106000,0.190652859386326,Conserved hypothetical protein.
Os11g0106000,0.190652859386326,Conserved hypothetical protein.
Os11g0310800,0.190645993031634,DEAD-like helicase, N-terminal domain containing protein.
Os01g0960500,0.190224192213557,Zinc finger, RING/FYVE/PHD-type domain containing protein.
Os11g0532200,0.190218379216915,Hypothetical protein.
Os01g0815700,0.189731026335147,Zinc finger, RanBP2-type domain containing protein.
Os05g0397900,0.189606014980342,Kinesin, motor region domain containing protein.
Os05g0136400,0.189173825267806,Conserved hypothetical protein.
Os05g0560500,0.189122291592089,Conserved hypothetical protein.
Os09g0465200,0.188890803242052,Hypothetical gene.
Os04g0504600,0.188856045049359,Pyruvate/Phosphoenolpyruvate kinase, catalytic core domain containing protein.
Os07g0562800,0.188770092033591,Myosin heavy chain class VIII A2 protein
Os07g0562800,0.188770092033591,Similar to Myosin heavy chain class VIII A2 protein.
Os07g0562800,0.188770092033591,Similar to Myosin heavy chain class VIII A2 protein.
Os07g0562800,0.188770092033591,Myosin heavy chain class VIII A1 protein
Os07g0270950,0.188615543441212,Similar to SETH2; transferase, transferring glycosyl groups.
Os03g0789600,0.188096614914052,Conserved hypothetical protein.
Os08g0112700,0.188092779488985,MADS-box transcription factor, Regulator of both biotic and abiotic stress responses
Os12g0141900,0.188048607307118,Similar to Membrane-anchored ubiquitin-fold protein 3.
Os07g0160050,0.187844283384204,Hypothetical protein.
Os01g0197900,0.187768621052813,&gamma;-clade RNA-dependent RNA polymerase 3, Rice growth and development, Regulation of the expression of repeat-rich regions in the genome, Polymerase activity on both RNA and DNA templates
Os02g0781300,0.187563616108138,Drought-responsive ethylene response factor 9, ERF family protein
Os07g0193600,0.187476778925537,Similar to Aminoacyl-tRNA synthetase.
Os07g0193600,0.187476778925537,Non-protein coding transcript.
Os12g0430000,0.187184512084095,Hypothetical conserved gene.
Os12g0235200,0.186798292935745,Conserved hypothetical protein.
Os08g0471000,0.186562329064965,Similar to cDNA, clone: J065120N14, full insert sequence.
Os03g0255900,0.1863376325794,Conserved hypothetical protein.
Os07g0584366,0.186061998763324,Hypothetical gene.
Os01g0771400,0.185634495860979,Similar to CM0545.290.nc protein.
Os09g0493600,0.185391957365637,Similar to IojAP protein-like (Expressed protein).
Os04g0164900,0.185373701482561,Pullulanase-type starch debranching enzyme (EC 3.2.1.41)
Os04g0164900,0.185373701482561,Alpha-1, 6-glucosidases, pullulanase-type
Os12g0263100,0.185373701482561,Similar to Zinc finger, DHHC domain containing 4.
Os06g0470800,0.185148144440509,Protein of unknown function DUF159 family protein.
Os06g0470800,0.185148144440509,SOS response associated peptidase-like
Os03g0293000,0.18501547110902,Similar to DnaJ domain containing protein, expressed.
Os03g0123200,0.18488523695544,Nucleotide-binding, alpha-beta plait domain containing protein.
Os09g0334800,0.184411060411846,Similar to protein kinase.
Os05g0149200,0.184043977313482,PWWP domain containing protein.
Os05g0529400,0.183820189013595,Similar to ubiquitin domain containing 1.
Os05g0529400,0.183820189013595,Similar to ubiquitin domain containing 1.
Os04g0397601,0.183820189013595,Non-protein coding transcript.
Os01g0510500,0.183114714561604,Conserved hypothetical protein.
Os01g0388200,0.182833150254253,Conserved hypothetical protein.
Os12g0110400,0.18204462850523,Similar to PTAC6 (PLASTID TRANSCRIPTIONALLY ACTIVE6).
Os03g0265666,0.181703315834151,Hypothetical conserved gene.
Os10g0440500,0.181703315834151,Heavy metal transport/detoxification protein domain containing protein.
Os11g0545300,0.180616752735046,Similar to Topoisomerase 6 subunit A-like protein.
Os11g0545300,0.180616752735046,Hypothetical gene.
Os11g0545300,0.180616752735046,Homologue of the archaeal topoisomerase VIA
Os09g0364900,0.180401203984801,Similar to SNF1-related kinase complex anchoring protein SIP1.
Os09g0364900,0.180401203984801,Similar to SNF1-related kinase complex anchoring protein SIP1.
Os07g0534200,0.18004528130255,Hypothetical protein.
Os08g0224800,0.179745221000307,Hypothetical conserved gene.
Os01g0877300,0.179741936284738,Mitotic checkpoint family protein.
Os03g0105300,0.179669737716069,Protein of unknown function DUF1677, Oryza sativa domain containing protein.
Os03g0105300,0.179669737716069,Protein of unknown function DUF1677, Oryza sativa domain containing protein.
Os03g0686500,0.179423473165873,Conserved hypothetical protein.
Os03g0686500,0.179423473165873,Conserved hypothetical protein.
Os09g0130500,0.179210726206979,Hypothetical conserved gene.
Os01g0761500,0.178971406273516,TGF-beta receptor, type I/II extracellular region family protein.
Os03g0431550,0.178693699127217,Glycosyl transferase, family 20 domain containing protein.
Os07g0430501,0.178436201338038,Similar to Thionin-like peptide.
Os04g0679200,0.17829576671778,Similar to H0801D08.12 protein.
Os04g0679200,0.17829576671778,Similar to H0801D08.12 protein.
Os01g0332500,0.178184688320617,Similar to Serine carboxypeptidase II-like protein.
Os01g0117050,0.178113588249225,Non-protein coding transcript.
Os03g0352300,0.17785350991674,Similar to Nucleolar protein.
Os03g0352300,0.17785350991674,Similar to nucleolar protein Nop56.
Os03g0352300,0.17785350991674,Similar to nucleolar protein Nop56.
Os02g0274600,0.177737434777467,Tesmin/TSO1-like, CXC domain containing protein.
Os06g0656566,0.17770852983413,Hypothetical gene.
Os08g0456000,0.17770852983413,Hypothetical gene.
Os07g0515150,0.17770852983413,Hypothetical protein.
Os06g0554600,0.17770852983413,Conserved hypothetical protein.
Os05g0573250,0.17770852983413,Non-protein coding transcript.
Os05g0502200,0.17770852983413,Phospholipid/glycerol acyltransferase domain containing protein.
Os04g0528200,0.17770852983413,Similar to OSIGBa0115K01-H0319F09.17 protein.
Os04g0110350,0.17770852983413,Hypothetical gene.
Os03g0409400,0.17770852983413,Similar to mps one binder kinase activator-like 1A.
Os02g0686450,0.17770852983413,Non-protein coding transcript.
Os11g0549401,0.17770852983413,Hypothetical gene.
Os01g0859500,0.17770852983413,Ortholog of ZmLG2, bZIP transcriptional factor, Lamina joint positioning and differentiation
Os05g0144400,0.177311655164168,Homolog of protein phosphatase with Kelch-like repeat domain (OsPPKL1), Positive regulation of grain length
Os07g0484500,0.177208938700456,Protein of unknown function DUF1395 family protein.
Os10g0419300,0.176867120314652,Heat stress transcription factor
Os10g0419300,0.176867120314652,Heat stress transcription factor, Splice variant of OsHsfA6a
Os08g0194501,0.17683610989859,Conserved hypothetical protein.
Os08g0474700,0.176700026544899,Similar to COPII subunit Sec23 (Fragment).
Os02g0175750,0.176323879137826,Hypothetical protein.
Os10g0502533,0.176029400064492,Non-protein coding transcript.
Os04g0505000,0.175990928026495,Protein of unknown function DUF869, plant family protein.
Os03g0712800,0.175507745402693,Cytosolic glutamine synthetase, Early stage of seed germination and grain filling under N deficient conditions
Os02g0801300,0.174726517178439,Similar to Cyclin-B1-2.
Os02g0801300,0.174726517178439,Similar to Cyclin-B1-2.
Os02g0801300,0.174726517178439,Similar to Cyclin B.
Os08g0119700,0.174279009539096,CCT domain domain containing protein.
Os01g0167700,0.173797916889679,Conserved hypothetical protein.
Os01g0167700,0.173797916889679,Crossover protein, Regulation of crossover formation during meiosis
Os06g0506150,0.17360283447733,Conserved hypothetical protein.
Os02g0539100,0.173601609934472,Similar to Digalactosyldiacylglycerol synthase 1.
Os05g0448675,0.173400713595693,Conserved hypothetical protein.
Os05g0138200,0.173181159029119,Similar to Chitinase (Class II) (EC 3.2.1.14).
Os08g0238700,0.173150144500766,Conserved hypothetical protein.
Os10g0395200,0.173057180713697,Conserved hypothetical protein.
Os04g0163700,0.172836439116739,Conserved hypothetical protein.
Os05g0531200,0.172635012097966,Pollen Ole e 1 allergen and extensin domain containing protein.
Os05g0531200,0.172635012097966,Pollen Ole e 1 allergen and extensin domain containing protein.
Os02g0806350,0.172481751352094,Hypothetical protein.
Os09g0281900,0.172314203916403,Mediator subunit 14_2, Tail module subunit of Mediator complex, Regulation of panicle architecture and grain traits, Pollen development, Jasmonic acid signalling
Os09g0281900,0.172314203916403,Similar to SWP (STRUWWELPETER).
Os02g0668000,0.172237364737,Membrane protein, At2g17000, predicted domain containing protein.
Os02g0668000,0.172237364737,Hypothetical protein.
Os07g0573700,0.171863848356392,Nucleotide-sugar transporter family protein.
Os09g0539000,0.171760239166233,Hypothetical conserved gene.
Os05g0440250,0.171745225789665,Histone deacetylase 712, RPD/HDA1 gene family, Response to cold and drought stresses
Os02g0794300,0.171478235289339,Protein of unknown function DUF566 family protein.
Os08g0382800,0.170887916466416,Hypothetical conserved gene.
Os03g0298400,0.170861857434521,26S proteasome 19S regulatory particle triple-A ATPase subunit 2b
Os03g0298400,0.170861857434521,Similar to 26S protease regulatory subunit 4 homolog.
Os04g0488500,0.1708180060825,Pentatricopeptide repeat domain containing protein.
Os04g0648800,0.170671868744871,C3HC4 RING domain-containing E3 ubiquitin ligase, Modulation of heading date by physically interacting with Hd1
Os04g0648800,0.170671868744871,Similar to Zinc finger, C3HC4 type family protein.
Os11g0229500,0.170625477562289,Probenazole-responsive protein, Nucleotide binding site and leucine-rich repeats (NBS-LRR) containing protein, Disease resistance protein RPM1, Positive regulation of sheath blight resistance
Os01g0667725,0.170600388641038,Non-protein coding transcript.
Os09g0538700,0.170600388641038,Protein of unknown function DUF632 domain containing protein.
Os08g0475000,0.170600388641038,Lipase, GDXG, active site domain containing protein.
Os07g0477866,0.170600388641038,Hypothetical gene.
Os06g0316000,0.170600388641038,Short-chain peptide-encoding gene, Disease resistance, Drought tolerance
Os04g0630551,0.170600388641038,Hypothetical gene.
Os04g0551400,0.170600388641038,Non-protein coding transcript.
Os04g0544400,0.170600388641038,Hypothetical conserved gene.
Os03g0792050,0.170600388641038,Non-protein coding transcript.
Os03g0167550,0.170600388641038,Hypothetical gene.
Os02g0316200,0.170600388641038,Kelch-type beta propeller domain containing protein.
Os02g0316200,0.170600388641038,Kelch-type beta propeller domain containing protein.
Os02g0199300,0.170600388641038,FK506 binding protein 16-1
Os12g0266200,0.170600388641038,Similar to Fibrillin-2 precursor.
Os10g0493900,0.170600388641038,WAT1-related protein At3g02690, chloroplastic
Os10g0419600,0.170600388641038,Chlorophyllase family protein.
Os10g0180800,0.170600388641038,Wall-associated kinase, Negative regulation of rice blast resistance
Os10g0180800,0.170600388641038,Similar to Calcium binding EGF domain containing protein, expressed.
Os10g0180800,0.170600388641038,Hypothetical conserved gene.
Os10g0136500,0.170600388641038,GnK2 domain containing receptor-like kinase-8, Response to chilling stress in tolerant rice genotype Volano, Response to Xanthomonas oryzae pv. oryzae in resistant rice genotype IRBB21
Os10g0134250,0.170600388641038,Hypothetical gene.
Os05g0299300,0.170464297464487,Conserved hypothetical protein.
Os03g0762000,0.170446590407237,Similar to Protein kinase CK2, alpha subunit.
Os03g0762000,0.170446590407237,Casein kinase II alpha subunit, Heading date, Photoperiod sensitivity
Os09g0107900,0.170412628130055,Hypothetical conserved gene.
Os03g0208900,0.170271353508033,Similar to ADP-glucose pyrophosphorylase (Fragment).
Os04g0320000,0.170234935129218,Similar to H0107B07.3 protein.
Os10g0428200,0.169489884709384,Similar to BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1.
Os10g0428200,0.169489884709384,Conserved hypothetical protein.
Os02g0141100,0.16944031238158,Similar to Auxin response factor 5.
Os03g0138100,0.169086699507841,Similar to RNA recognition motif family protein, expressed.
Os07g0134500,0.16886383228915,Similar to hydrolase/ protein serine/threonine phosphatase.
Os06g0591400,0.168715902712296,Conserved hypothetical protein.
Os10g0322032,0.168633021028491,Conserved hypothetical protein.
Os03g0143800,0.168448216182557,PIROGI/Specifically Rac1-associated protein 1 (PIR/SRA1)-like protein, Homolog of SCAR/WAVE complex components, Control of epidermal cell morphogenesis
Os03g0846900,0.168393626923694,Conserved hypothetical protein.
Os02g0264700,0.168211473363654,Similar to flagelliform silk protein-like protein [Oryza sativa (japonica cultivar-group)].
Os01g0848200,0.168210865192465,Delta-1-pyrroline-5-carboxylate synthase 2, Salt and cold tolerance, Proline biosynthesis
Os01g0848200,0.168210865192465,Similar to Delta 1-pyrroline-5-carboxylate synthetase (P5CS) [Includes: Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)].
Os01g0617700,0.168063010454743,Similar to CENP-C (Fragment).
Os09g0376300,0.167778239153217,Conserved hypothetical protein.
Os05g0534900,0.167690190506498,Pentatricopeptide repeat domain containing protein.
Os12g0255200,0.167483508924507,Staphylococcal nuclease (SNase-like), OB-fold domain containing protein.
Os12g0255200,0.167483508924507,Conserved hypothetical protein.
Os03g0852900,0.167388472438399,Similar to Cleavage and polyadenylation specificity factor, 73 kDa subunit (CPSF 73 kDa subunit).
Os01g0858700,0.1672568843692,Conserved hypothetical protein.
Os01g0908200,0.166969120122007,Member of the Bric-a-Brac/Tramtrack/Broad (BTB) family, BT1/BT2 ortholog, Negative regulation of nitrate uptake and nitrogen use efficiency
Os01g0646800,0.166922581457964,Conserved hypothetical protein.
Os01g0209400,0.166921538985384,Nucleotide-binding, alpha-beta plait domain containing protein.
Os10g0508000,0.166672553058463,Similar to C-terminal peptide-binding protein 1.
Os07g0647100,0.16657551211911,Mo25-like domain containing protein.
Os02g0664150,0.165952516590442,Hypothetical gene.
Os06g0221100,0.165852164570298,TLDc domain containing protein.
Os01g0514600,0.165668039191557,Similar to Fimbrin 1 (AtFIM1).
Os02g0310200,0.165555609020471,Conserved hypothetical protein.
Os07g0687900,0.165555437615442,Galactinol synthase, WSI76 protein induced by water stress, Salt stress response
Os07g0173300,0.165397397933975,PHD-finger domain-containing protein, Positive regulation of cold tolerance at the booting stage
Os07g0516050,0.165181035919288,Similar to predicted protein.
Os02g0831500,0.165057733844614,Similar to Sucrose synthase.
Os02g0831500,0.165057733844614,Similar to H0211A12.6 protein.
Os08g0173300,0.164893070794114,Small peptides, Anti-herbivore defense response, Response to wounding and oral secretion
Os03g0128200,0.164848280689498,Similar to predicted protein.
Os03g0161000,0.16476671425144,Conserved hypothetical protein.
Os03g0161000,0.16476671425144,Hypothetical conserved gene.
Os02g0189700,0.164484874731085,Similar to Felis catus multi-drug resistance related (Fragment).
Os01g0740700,0.164010203336108,Hypothetical protein.
mat-r,0.164010203336108,NA
Os09g0555400,0.164010203336108,Pentatricopeptide repeat domain containing protein.
Os09g0544400,0.164010203336108,Similar to glutathione transferase16.
Os08g0478466,0.164010203336108,Protein of unknown function DUF296 domain containing protein.
Os08g0453766,0.164010203336108,Hypothetical gene.
Os07g0605350,0.164010203336108,Similar to Protein EGG APPARATUS-1.
Os06g0551450,0.164010203336108,Non-protein coding transcript.
Os06g0519400,0.164010203336108,Zinc finger, CCCH-type domain containing protein.
Os04g0390800,0.164010203336108,NAD(P)-binding domain containing protein.
Os03g0811100,0.164010203336108,Magnesium-chelatase subunit ChlD, Chlorophyll synthesis, Chloroplast development
Os03g0811100,0.164010203336108,Similar to Chloroplast Mg-chelatase subunit XANTHA-G.
Os03g0688250,0.164010203336108,Non-protein coding transcript.
Os03g0666550,0.164010203336108,Hypothetical protein.
Os03g0341000,0.164010203336108,Group VII ethylene response factor, Submergence tolerance
Os02g0828800,0.164010203336108,Hypothetical protein.
Os02g0653850,0.164010203336108,Hypothetical gene.
Os11g0161800,0.164010203336108,Conserved hypothetical protein.
Os10g0351200,0.164010203336108,Similar to Cytochrome P450 family protein, expressed.
Os01g0738100,0.164010203336108,Peptidase C48, SUMO/Sentrin/Ubl1 domain containing protein.
Os01g0571133,0.164010203336108,Hypothetical gene.
Os03g0405400,0.163649146117164,Non-protein coding transcript.
Os06g0575100,0.163336707702607,Conserved hypothetical protein.
Os03g0347800,0.163315163206749,Peptidyl-tRNA hydrolase family protein.
Os04g0654400,0.163287060349434,Eggshell protein family protein.
Os12g0110100,0.163044160582513,Esterase/lipase/thioesterase domain containing protein.
Os06g0295500,0.163008417310777,Hypothetical gene.
Os06g0295500,0.163008417310777,Hypothetical protein.
Os06g0295500,0.163008417310777,Non-protein coding transcript.
Os03g0649000,0.16300693111788,Conserved hypothetical protein.
Os11g0657000,0.162600697041332,Kelch repeat type 2 domain containing protein.
Os06g0585900,0.162596728256867,Similar to cDNA clone:002-174-F06, full insert sequence.
Os06g0585900,0.162596728256867,Hypothetical protein.
Os06g0645800,0.162473306891253,Similar to Transcription initiation factor TFIID subunit 1.
Os07g0681400,0.162433898049468,Similar to Calcium-binding protein CAST.
Os09g0525200,0.16223751076673,Protein of unknown function DUF947 family protein.
Os10g0422200,0.162137313266968,Similar to Homocysteine S-methyltransferase 3 (EC 2.1.1.10) (S- methylmethionine:homocysteine methyltransferase 3) (SMM:Hcy S- methyltransferase 3) (ZmHMT-3).
Os10g0422200,0.162137313266968,Similar to Homocysteine S-methyltransferase 3 (EC 2.1.1.10) (S- methylmethionine:homocysteine methyltransferase 3) (SMM:Hcy S- methyltransferase 3) (ZmHMT-3).
Os03g0591700,0.16213415965019,Conserved hypothetical protein.
Os02g0633600,0.162112239242992,Non-protein coding transcript.
Os02g0669900,0.161974606262741,Similar to H0211B05.8 protein.
Os07g0493100,0.161757619379471,Hypothetical gene.
Os02g0702300,0.161757619379471,Conserved hypothetical protein.
Os11g0492100,0.161757619379471,Similar to NB-ARC domain containing protein, expressed.
Os11g0492100,0.161757619379471,Nucleotide-binding LRR receptor (NLR) family protein
Os01g0276900,0.161567721634453,Conserved hypothetical protein.
Os01g0910900,0.161444446655118,Conserved hypothetical protein.
Os01g0177100,0.161274707139123,Similar to STYLOSA protein.
Os01g0177100,0.161274707139123,Similar to STYLOSA protein.
Os02g0662200,0.160904483072149,Guanine nucleotide exchange factor 3, Small GTPase regulator, Regulation of grain size and plant height
Os09g0249600,0.160709786607153,Similar to small nuclear ribonucleoprotein family protein / snRNP family protein.
Os09g0249600,0.160709786607153,Similar to predicted protein.
Os01g0959000,0.16046510310438,Splicing factor, mRNA processing
Os06g0210200,0.160108035985761,Peptidase M20 domain containing protein.
Os05g0371133,0.160040232385235,Non-protein coding transcript.
Os12g0515500,0.159829498393622,Similar to Zn-finger transcription factor.
Os01g0198100,0.159773653800893,NA
Os08g0450800,0.159401455625853,Phosphatidylinositol-4-phosphate 5-kinase family protein.
Os08g0450800,0.159401455625853,Similar to predicted protein.
Os12g0250900,0.159263959209852,BRCT domain containing protein.
Os04g0560500,0.159222484143061,Amine oxidase domain containing protein.
Os03g0427900,0.159167745199387,Zinc finger, RING/FYVE/PHD-type domain containing protein.
Os06g0137500,0.15916429449364,Similar to predicted protein.
Os06g0137500,0.15916429449364,Brix domain containing protein.
Os11g0483600,0.158823418446729,DNA-binding SAP domain containing protein.
Os02g0258250,0.158788750874319,Hypothetical conserved gene.
Os04g0599650,0.158615531703869,DNA helicase, UvrD/REP type domain containing protein.
Os03g0425100,0.158238112396356,Conserved hypothetical protein.
Os10g0531400,0.158211134895207,Glutathione S-transferase GST 30 (EC 2.5.1.18).
Os07g0289400,0.158136880352707,Conserved hypothetical protein.
Os04g0672300,0.157756883652529,Similar to H0322F07.3 protein.
Os03g0822100,0.157680462711702,Similar to Transposase (Fragment).
Os03g0822100,0.157680462711702,Similar to cDNA clone:J033024N05, full insert sequence.
Os06g0146400,0.157604251460175,FeS cluster insertion domain containing protein.
Os02g0176300,0.157496240035627,Hypothetical protein.
